continent;make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;engine-type;num-of-cylinders;fuel-system;bore;stroke;compression-ratio;horsepower;peak-rpm;city-mpg;highway-mpg;price;wheel-base;length;width;height;curb-weight;engine-size
europe;volkswagen;diesel;std;two;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;52;4800;37;46;7775;97.30;171.70;65.50;55.70;2261;97
europe;volkswagen;gas;std;two;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;85;5250;27;34;7975;97.30;171.70;65.50;55.70;2209;109
europe;volkswagen;diesel;std;four;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;52;4800;37;46;7995;97.30;171.70;65.50;55.70;2264;97
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;85;5250;27;34;8195;97.30;171.70;65.50;55.70;2212;109
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;85;5250;27;34;8495;97.30;171.70;65.50;55.70;2275;109
europe;volkswagen;diesel;turbo;four;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;68;4500;37;42;9495;97.30;171.70;65.50;55.70;2319;97
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;four;mpfi;3.19;3.40;10.00;100;5500;26;32;9995;97.30;171.70;65.50;55.70;2300;109
europe;volkswagen;gas;std;two;convertible;fwd;front;ohc;four;mpfi;3.19;3.40;8.50;90;5500;24;29;11595;94.50;159.30;64.20;55.60;2254;109
europe;volkswagen;gas;std;two;hatchback;fwd;front;ohc;four;mpfi;3.19;3.40;8.50;90;5500;24;29;9980;94.50;165.70;64.00;51.40;2221;109
europe;volkswagen;gas;std;four;sedan;fwd;front;ohc;five;mpfi;3.19;3.40;8.50;110;5500;19;24;13295;100.40;180.20;66.90;55.10;2661;136
europe;volkswagen;diesel;turbo;four;sedan;fwd;front;ohc;four;idi;3.01;3.40;23.00;68;4500;33;38;13845;100.40;180.20;66.90;55.10;2579;97
europe;volkswagen;gas;std;four;wagon;fwd;front;ohc;four;mpfi;3.19;3.40;9.00;88;5500;25;31;12290;100.40;183.10;66.90;55.10;2563;109
europe;volvo;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;23;28;12940;104.30;188.80;67.20;56.20;2912;141
europe;volvo;gas;std;four;wagon;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;23;28;13415;104.30;188.80;67.20;57.50;3034;141
europe;volvo;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;24;28;15985;104.30;188.80;67.20;56.20;2935;141
europe;volvo;gas;std;four;wagon;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;24;28;16515;104.30;188.80;67.20;57.50;3042;141
europe;volvo;gas;turbo;four;sedan;rwd;front;ohc;four;mpfi;3.62;3.15;7.50;162;5100;17;22;18420;104.30;188.80;67.20;56.20;3045;130
europe;volvo;gas;turbo;four;wagon;rwd;front;ohc;four;mpfi;3.62;3.15;7.50;162;5100;17;22;18950;104.30;188.80;67.20;57.50;3157;130
europe;volvo;gas;std;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;23;28;16845;109.10;188.80;68.90;55.50;2952;141
europe;volvo;gas;turbo;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;8.70;160;5300;19;25;19045;109.10;188.80;68.80;55.50;3049;141
europe;volvo;gas;std;four;sedan;rwd;front;ohcv;six;mpfi;3.58;2.87;8.80;134;5500;18;23;21485;109.10;188.80;68.90;55.50;3012;173
europe;volvo;diesel;turbo;four;sedan;rwd;front;ohc;six;idi;3.01;3.40;23.00;106;4800;26;27;22470;109.10;188.80;68.90;55.50;3217;145
europe;volvo;gas;turbo;four;sedan;rwd;front;ohc;four;mpfi;3.78;3.15;9.50;114;5400;19;25;22625;109.10;188.80;68.90;55.50;3062;141
